flow_packet_count,flow_byte_count,rx_packets,tx_packets,rx_bytes,tx_bytes,label
868,1251656,869,717,1253098,1033914,1
867,1250214,869,64,1253098,92288,1
783,1129086,707,76,1019494,109592,1
782,1127644,870,159,1254540,229278,1
721,1039682,722,122,1041124,175924,1
1004,1255120,868,11,1251656,15862,1
867,1250214,870,50,1253140,70718,1
774,1116108,777,79,1120434,113918,1
867,1250214,868,149,1251656,214858,1
868,1251656,869,80,1253098,115360,1
1013,1225627,836,231,1205512,333102,1
868,1251656,871,197,1255982,284074,1
867,1250214,871,135,1255982,194670,1
839,1209838,842,96,1212764,137050,1
856,1234352,860,231,1240120,333102,1
867,1250214,868,219,1251656,315798,1
697,1005074,699,20,1007958,28840,1
611,881062,578,141,833476,203322,1
824,1186934,861,163,1241562,235046,1
1022,1276254,871,450,1254582,647518,1
698,1006516,699,152,1007958,219184,1
732,1055544,696,141,1003632,203322,1
1081,1303547,786,180,1133412,259560,1
694,1000748,809,285,1166578,410970,1
820,1182440,701,278,1010842,400876,1
812,1118383,773,232,1113266,333162,1
919,1135610,773,106,1114666,152852,1
776,1118992,849,224,1224258,323008,1
710,1023820,713,0,1028146,0,1
983,1155721,796,107,1147832,154294,1
658,948836,662,200,954604,288400,1
781,1126202,788,61,1134896,86580,1
867,1250214,871,180,1255982,259560,1
807,1163694,810,331,1168020,477302,1
721,1039682,722,123,1041124,177366,1
947,1145650,785,222,1131970,320124,1
861,1124895,775,232,1117550,334544,1
854,1231468,896,119,1290632,170216,1
803,1157926,806,226,1162252,325892,1
856,1234352,858,234,1237236,337428,1
777,1120434,699,200,1007958,288400,1
752,1084384,701,179,1010842,258118,1
584,842128,734,76,1058428,109592,1
888,1280496,717,213,1032514,305764,1
997,1146290,784,189,1130528,272538,1
799,1152158,802,143,1156484,206206,1
699,1007958,700,248,1009400,357616,1
867,1250214,869,137,1253098,197554,1
744,831698,655,350,944510,504700,1
868,1251656,870,249,1253140,357676,1
822,1185324,824,14,1188208,20188,1
782,1127644,784,0,1130528,0,1
868,1251656,869,0,1253098,0,1
867,1250214,871,0,1255982,0,1
867,1250214,869,12,1253098,17304,1
868,1251656,873,14,1257466,18806,1
815,1173949,817,16,1178114,23072,1
853,1173662,695,80,1002190,115360,1
803,1157926,785,63,1131970,90846,1
715,1031030,863,100,1244446,144200,1
1041,1501122,935,137,1348270,197554,1
834,1202628,834,202,1201228,289902,1
821,1183882,787,769,1134854,1108898,1
764,998563,866,193,1248772,278306,1
870,1254540,699,560,1007958,807520,1
580,836360,573,119,826266,171598,1
781,1126202,794,87,1144948,125454,1
856,1234352,857,72,1234394,102442,1
974,1217824,834,138,1202628,198996,1
867,1250214,870,328,1254540,472976,1
733,1056986,728,366,1049776,527772,1
735,1059870,737,147,1062754,211974,1
845,1218490,848,148,1222816,213416,1
781,1126202,785,246,1130570,353350,1
784,1130528,784,135,1130528,194670,1
1055,1173330,803,130,1157926,187460,1
723,1042566,724,88,1044008,126896,1
853,1230026,855,93,1232910,134106,1
864,1135323,786,407,1133412,586894,1
824,1188208,827,222,1191134,318742,1
761,1097362,764,439,1101688,633038,1
697,1005074,699,195,1007958,281190,1
718,1035356,723,95,1042566,136990,1
840,1211280,841,209,1212722,301378,1
591,852222,593,116,855106,167272,1
728,1049776,678,159,976276,227896,1
762,1098804,761,138,1097362,198996,1
839,983378,848,112,1222816,161504,1
1042,1502564,871,0,1255982,0,1
611,881062,789,0,1137738,0,1
820,1182440,636,87,917112,125454,1
609,878178,788,80,1134896,113978,1
731,1054102,647,305,932974,439810,1
914,1317988,828,438,1193976,631596,1
695,1002190,856,221,1234352,318682,1
893,1287706,741,41,1068522,59122,1
868,1251656,871,79,1255982,113918,1
1041,1274672,870,154,1253140,220686,1
816,1176672,816,173,1176672,249466,1
887,1251974,870,138,1254540,198996,1
851,1227142,854,89,1231468,128338,1
868,1251656,871,106,1255982,152852,1
866,1248772,872,86,1257424,124012,1
868,1251656,870,216,1253140,310090,1
868,1251656,870,46,1254540,66332,1
867,1250214,869,119,1253098,171598,1
920,1258641,874,114,1260308,164388,1
867,1250214,869,41,1253098,59122,1
868,1251656,871,132,1255982,190344,1
888,1135594,784,81,1130528,116802,1
868,1251656,870,140,1253140,200498,1
876,1250799,870,116,1254540,167272,1
685,987770,641,0,924322,0,1
774,1116108,823,0,1186766,0,1
759,1094478,762,0,1098804,0,1
868,1251656,869,0,1253098,0,1
851,1227142,854,1,1230068,60,1
867,1250214,870,100,1254540,144200,1
867,1250214,866,157,1248772,226394,1
837,1206954,838,279,1208396,402318,1
998,1251250,861,193,1241562,278306,1
847,1221374,844,163,1217048,235046,1
848,1222816,856,171,1232952,245200,1
862,1243004,865,181,1247330,261002,1
